Order_ID,Product_ID,Quantity,Discount
ORD03013,PROD0091,2,0.1
ORD00475,PROD0061,2,0.03
ORD00083,PROD0059,4,0.22
ORD04393,PROD0146,1,0.3
ORD00123,PROD0185,2,0.24
ORD00628,PROD0015,2,0.13
ORD02316,PROD0012,3,0.1
ORD02001,PROD0075,2,0.18
ORD03922,PROD0169,1,0.2
ORD00626,PROD0065,5,0.06
ORD02925,PROD0057,4,0.21
ORD03006,PROD0200,5,0.09
ORD02001,PROD0135,3,0.1
ORD04436,PROD0129,1,0.02
ORD03366,PROD0181,5,0.15
ORD00643,PROD0053,2,0.25
ORD04268,PROD0060,3,0.22
ORD01727,PROD0032,3,0.22
ORD01163,PROD0010,2,0.21
ORD03718,PROD0030,1,0.15
ORD00277,PROD0070,3,0.18
ORD02461,PROD0022,1,0.08
ORD04996,PROD0099,4,0.01
ORD03135,PROD0099,4,0.01
ORD01686,PROD0098,2,0.2
ORD04363,PROD0014,3,0.01
ORD02850,PROD0007,5,0.23
ORD02755,PROD0068,5,0.06
ORD00225,PROD0088,5,0.13
ORD03503,PROD0187,1,0.24
ORD04533,PROD0100,3,0.26
ORD04381,PROD0119,4,0.17
ORD04656,PROD0197,5,0.08
ORD03124,PROD0120,2,0.04
ORD00125,PROD0072,3,0.03
ORD02048,PROD0198,5,0.09
ORD04679,PROD0102,1,0.18
ORD02964,PROD0069,3,0.23
ORD04981,PROD0004,1,0.09
ORD02630,PROD0068,2,0.13
ORD00142,PROD0113,1,0.14
ORD02939,PROD0123,5,0.07
ORD00480,PROD0149,1,0.08
ORD05000,PROD0142,3,0.29
ORD03609,PROD0047,3,0.23
ORD02263,PROD0067,4,0.04
ORD01430,PROD0038,5,0.2
ORD01907,PROD0030,1,0.06
ORD04152,PROD0113,5,0.1
ORD04534,PROD0184,2,0.02
ORD02123,PROD0066,1,0.2
ORD02895,PROD0139,1,0.18
ORD02865,PROD0028,1,0.15
ORD00928,PROD0131,1,0.07
ORD02669,PROD0147,3,0.25
ORD03408,PROD0019,4,0.26
ORD01173,PROD0007,3,0.18
ORD02952,PROD0086,4,0.27
ORD03070,PROD0121,3,0.19
ORD01314,PROD0095,1,0.09
ORD01230,PROD0152,1,0.03
ORD01733,PROD0081,5,0.21
ORD04164,PROD0149,3,0.28
ORD03104,PROD0150,1,0.2
ORD01230,PROD0098,1,0.29
ORD01840,PROD0145,5,0.3
ORD04492,PROD0188,4,0.16
ORD00994,PROD0136,1,0.18
ORD04297,PROD0134,4,0.1
ORD01598,PROD0148,3,0.27
ORD02693,PROD0063,3,0.07
ORD02579,PROD0192,1,0.21
ORD03646,PROD0188,4,0.11
ORD02884,PROD0144,5,0.02
ORD02968,PROD0168,4,0.18
ORD03678,PROD0108,2,0.17
ORD01027,PROD0138,2,0.23
ORD03340,PROD0173,5,0.2
ORD04961,PROD0067,3,0.1
ORD00967,PROD0021,4,0.13
ORD01216,PROD0148,4,0.19
ORD01623,PROD0047,4,0.0
ORD00990,PROD0108,3,0.23
ORD03850,PROD0191,1,0.04
ORD00280,PROD0111,1,0.21
ORD00599,PROD0034,5,0.26
ORD03180,PROD0109,3,0.04
ORD04563,PROD0062,3,0.04
ORD02758,PROD0152,5,0.18
ORD00371,PROD0019,3,0.28
ORD03350,PROD0162,4,0.22
ORD03570,PROD0075,4,0.21
ORD01503,PROD0186,5,0.27
ORD04173,PROD0022,2,0.27
ORD04863,PROD0152,3,0.2
ORD03716,PROD0098,3,0.13
ORD04168,PROD0185,5,0.08
ORD00794,PROD0060,3,0.15
ORD00396,PROD0145,5,0.27
ORD04750,PROD0131,4,0.09
ORD03147,PROD0082,2,0.29
ORD00344,PROD0189,2,0.13
ORD02280,PROD0148,5,0.09
ORD02846,PROD0073,2,0.04
ORD02244,PROD0125,4,0.07
ORD01388,PROD0074,3,0.3
ORD00870,PROD0060,3,0.04
ORD01695,PROD0142,5,0.23
ORD00225,PROD0154,1,0.29
ORD04423,PROD0138,2,0.0
ORD00212,PROD0095,2,0.08
ORD04679,PROD0110,4,0.16
ORD03718,PROD0076,1,0.21
ORD00983,PROD0114,4,0.15
ORD00712,PROD0036,3,0.22
ORD00955,PROD0091,1,0.22
ORD01823,PROD0187,1,0.1
ORD04154,PROD0086,3,0.14
ORD04202,PROD0173,1,0.21
ORD02579,PROD0010,4,0.03
ORD04271,PROD0082,2,0.25
ORD00292,PROD0163,1,0.07
ORD04804,PROD0097,2,0.2
ORD02174,PROD0121,2,0.15
ORD01533,PROD0188,4,0.08
ORD01627,PROD0163,1,0.29
ORD01755,PROD0001,4,0.02
ORD04569,PROD0157,2,0.21
ORD00318,PROD0108,3,0.18
ORD04784,PROD0061,3,0.15
ORD01476,PROD0077,2,0.26
ORD03974,PROD0126,4,0.18
ORD04452,PROD0124,3,0.03
ORD00921,PROD0194,3,0.13
ORD03664,PROD0084,2,0.2
ORD00949,PROD0046,4,0.29
ORD00931,PROD0089,4,0.21
ORD03963,PROD0126,5,0.12
ORD01924,PROD0008,3,0.08
ORD01763,PROD0105,1,0.17
ORD02648,PROD0067,3,0.12
ORD03621,PROD0109,4,0.08
ORD00448,PROD0069,4,0.22
ORD02784,PROD0163,1,0.09
ORD03358,PROD0057,5,0.26
ORD04392,PROD0053,1,0.28
ORD02701,PROD0034,5,0.16
ORD00173,PROD0098,1,0.23
ORD02731,PROD0091,5,0.02
ORD00404,PROD0133,2,0.11
ORD01626,PROD0041,5,0.12
ORD01879,PROD0075,2,0.27
ORD02716,PROD0106,2,0.17
ORD02038,PROD0004,1,0.25
ORD04314,PROD0027,5,0.12
ORD03973,PROD0011,2,0.08
ORD00199,PROD0059,2,0.01
ORD01013,PROD0097,4,0.04
ORD02212,PROD0022,1,0.02
ORD03403,PROD0006,1,0.22
ORD04438,PROD0155,2,0.03
ORD04819,PROD0101,2,0.25
ORD02558,PROD0083,4,0.15
ORD00192,PROD0078,3,0.14
ORD00817,PROD0068,5,0.14
ORD02386,PROD0110,1,0.07
ORD03329,PROD0144,3,0.15
ORD04369,PROD0130,2,0.11
ORD04072,PROD0187,4,0.29
ORD04478,PROD0183,1,0.14
ORD04734,PROD0007,4,0.23
ORD03663,PROD0095,4,0.17
ORD02545,PROD0086,2,0.24
ORD00686,PROD0025,5,0.05
ORD04013,PROD0152,2,0.03
ORD03303,PROD0158,4,0.16
ORD04642,PROD0195,2,0.02
ORD04043,PROD0065,4,0.09
ORD02768,PROD0039,1,0.1
ORD04632,PROD0154,4,0.26
ORD02197,PROD0177,2,0.23
ORD04004,PROD0140,4,0.09
ORD01932,PROD0083,4,0.21
ORD04215,PROD0143,1,0.28
ORD03488,PROD0180,1,0.11
ORD00112,PROD0042,5,0.22
ORD01362,PROD0051,4,0.26
ORD00932,PROD0010,4,0.15
ORD04298,PROD0125,2,0.22
ORD04482,PROD0108,4,0.0
ORD00964,PROD0112,3,0.22
ORD02221,PROD0134,3,0.18
ORD03045,PROD0145,2,0.04
ORD04287,PROD0176,2,0.24
ORD03042,PROD0133,5,0.08
ORD03792,PROD0054,3,0.28
ORD01109,PROD0043,5,0.21
ORD03882,PROD0003,3,0.12
ORD01232,PROD0121,1,0.3
ORD00046,PROD0080,2,0.06
ORD00769,PROD0138,4,0.1
ORD00501,PROD0160,4,0.18
ORD00547,PROD0090,5,0.27
ORD02826,PROD0161,1,0.28
ORD02250,PROD0073,4,0.18
ORD02505,PROD0095,5,0.23
ORD02087,PROD0144,5,0.19
ORD01660,PROD0020,5,0.05
ORD01774,PROD0072,2,0.08
ORD00839,PROD0033,5,0.18
ORD03138,PROD0085,5,0.23
ORD04852,PROD0155,3,0.29
ORD03879,PROD0054,2,0.0
ORD01900,PROD0056,1,0.28
ORD01201,PROD0037,2,0.14
ORD00003,PROD0083,1,0.27
ORD00428,PROD0036,5,0.24
ORD03485,PROD0171,4,0.1
ORD04100,PROD0195,1,0.07
ORD03222,PROD0097,4,0.21
ORD02909,PROD0080,5,0.1
ORD00641,PROD0155,2,0.29
ORD02276,PROD0183,2,0.25
ORD04592,PROD0114,4,0.21
ORD02053,PROD0176,1,0.17
ORD03567,PROD0167,3,0.05
ORD02996,PROD0120,3,0.22
ORD01752,PROD0158,5,0.26
ORD01565,PROD0098,3,0.05
ORD00088,PROD0051,4,0.11
ORD01597,PROD0002,5,0.09
ORD00771,PROD0095,3,0.15
ORD00107,PROD0156,3,0.01
ORD02253,PROD0165,4,0.12
ORD02073,PROD0071,1,0.29
ORD00250,PROD0184,4,0.3
ORD03724,PROD0126,2,0.14
ORD04470,PROD0027,1,0.11
ORD01255,PROD0181,2,0.26
ORD01079,PROD0022,4,0.25
ORD00979,PROD0015,4,0.19
ORD00511,PROD0081,1,0.26
ORD02274,PROD0050,5,0.22
ORD02726,PROD0173,3,0.27
ORD01387,PROD0151,3,0.15
ORD03303,PROD0107,1,0.02
ORD04109,PROD0038,3,0.03
ORD03633,PROD0012,3,0.18
ORD04141,PROD0105,2,0.19
ORD00027,PROD0080,3,0.17
ORD00965,PROD0088,4,0.17
ORD00706,PROD0145,4,0.03
ORD00742,PROD0047,1,0.06
ORD04843,PROD0161,1,0.23
ORD00086,PROD0056,3,0.14
ORD02022,PROD0079,2,0.22
ORD01088,PROD0080,1,0.11
ORD02352,PROD0046,3,0.04
ORD02585,PROD0106,2,0.25
ORD02235,PROD0052,2,0.29
ORD02125,PROD0179,4,0.08
ORD04014,PROD0091,5,0.11
ORD04285,PROD0116,2,0.01
ORD04795,PROD0099,2,0.16
ORD01726,PROD0180,4,0.1
ORD02365,PROD0054,3,0.21
ORD04127,PROD0142,3,0.03
ORD01727,PROD0067,2,0.14
ORD00258,PROD0030,5,0.2
ORD01528,PROD0122,2,0.14
ORD02646,PROD0096,5,0.11
ORD04821,PROD0009,3,0.21
ORD02940,PROD0003,2,0.13
ORD02742,PROD0087,1,0.06
ORD02933,PROD0079,2,0.14
ORD01526,PROD0193,1,0.13
ORD03740,PROD0152,5,0.21
ORD03272,PROD0122,2,0.08
ORD03058,PROD0154,3,0.14
ORD03287,PROD0077,1,0.29
ORD01920,PROD0196,5,0.03
ORD03489,PROD0199,3,0.29
ORD03283,PROD0152,1,0.05
ORD01364,PROD0077,5,0.29
ORD04294,PROD0051,5,0.23
ORD01065,PROD0170,3,0.24
ORD00441,PROD0024,3,0.24
ORD01159,PROD0089,4,0.12
ORD03774,PROD0001,2,0.06
ORD01410,PROD0078,3,0.02
ORD01935,PROD0053,4,0.03
ORD02005,PROD0040,5,0.25
ORD03066,PROD0002,4,0.05
ORD00819,PROD0121,5,0.21
ORD01741,PROD0121,4,0.25
ORD01989,PROD0196,1,0.12
ORD02608,PROD0196,2,0.12
ORD02680,PROD0073,4,0.18
ORD04376,PROD0019,3,0.15
ORD04805,PROD0007,2,0.27
ORD01460,PROD0197,2,0.11
ORD02785,PROD0129,1,0.18
ORD03262,PROD0020,2,0.04
ORD01540,PROD0012,2,0.09
ORD00761,PROD0087,4,0.2
ORD03488,PROD0039,3,0.09
ORD03938,PROD0009,3,0.29
ORD03455,PROD0046,2,0.12
ORD04239,PROD0028,4,0.24
ORD02837,PROD0176,1,0.2
ORD03314,PROD0004,2,0.1
ORD04708,PROD0130,4,0.21
ORD00095,PROD0125,4,0.13
ORD00447,PROD0078,4,0.08
ORD00950,PROD0155,4,0.15
ORD03880,PROD0183,3,0.25
ORD02989,PROD0029,2,0.29
ORD04356,PROD0195,4,0.26
ORD00656,PROD0039,1,0.1
ORD04835,PROD0067,2,0.15
ORD03728,PROD0112,1,0.14
ORD00327,PROD0032,4,0.14
ORD00411,PROD0154,3,0.08
ORD02765,PROD0173,3,0.23
ORD00193,PROD0139,3,0.05
ORD02924,PROD0107,1,0.13
ORD02439,PROD0163,1,0.18
ORD02927,PROD0188,1,0.16
ORD03246,PROD0064,2,0.03
ORD00775,PROD0033,2,0.19
ORD03532,PROD0071,3,0.29
ORD02000,PROD0188,5,0.17
ORD00333,PROD0020,3,0.11
ORD01203,PROD0156,1,0.11
ORD00646,PROD0087,3,0.13
ORD00184,PROD0048,3,0.22
ORD00650,PROD0111,1,0.24
ORD04677,PROD0067,3,0.18
ORD04417,PROD0063,1,0.11
ORD03875,PROD0056,4,0.08
ORD01522,PROD0071,5,0.2
ORD04954,PROD0103,2,0.2
ORD02234,PROD0002,4,0.06
ORD03395,PROD0169,2,0.08
ORD03789,PROD0154,3,0.03
ORD01842,PROD0005,3,0.07
ORD02358,PROD0187,5,0.25
ORD04817,PROD0108,5,0.1
ORD03188,PROD0122,5,0.0
ORD02791,PROD0082,3,0.25
ORD01244,PROD0119,4,0.06
ORD01393,PROD0173,4,0.08
ORD00265,PROD0170,5,0.29
ORD03986,PROD0144,3,0.02
ORD04339,PROD0095,3,0.09
ORD02584,PROD0116,4,0.01
ORD04792,PROD0043,5,0.11
ORD03536,PROD0107,1,0.23
ORD02326,PROD0143,4,0.3
ORD03075,PROD0138,2,0.11
ORD01012,PROD0025,4,0.07
ORD00907,PROD0147,3,0.05
ORD01304,PROD0197,4,0.17
ORD02884,PROD0193,2,0.13
ORD04910,PROD0072,3,0.23
ORD00866,PROD0171,3,0.15
ORD04363,PROD0101,2,0.26
ORD04054,PROD0194,4,0.09
ORD03682,PROD0041,2,0.12
ORD00028,PROD0137,3,0.23
ORD01412,PROD0175,1,0.12
ORD03426,PROD0108,4,0.06
ORD00238,PROD0159,2,0.04
ORD04124,PROD0021,5,0.17
ORD03349,PROD0006,3,0.18
ORD01364,PROD0146,4,0.21
ORD03034,PROD0006,5,0.27
ORD03190,PROD0142,5,0.26
ORD01323,PROD0118,3,0.22
ORD01961,PROD0045,4,0.28
ORD01637,PROD0083,2,0.09
ORD00254,PROD0053,5,0.14
ORD02008,PROD0176,5,0.13
ORD01982,PROD0046,4,0.15
ORD00911,PROD0155,3,0.26
ORD01305,PROD0063,4,0.22
ORD00573,PROD0002,1,0.2
ORD03329,PROD0134,4,0.26
ORD00577,PROD0107,3,0.27
ORD04402,PROD0031,5,0.19
ORD04376,PROD0183,1,0.13
ORD00490,PROD0075,4,0.25
ORD00327,PROD0094,4,0.21
ORD04191,PROD0162,4,0.13
ORD01017,PROD0027,2,0.25
ORD04750,PROD0193,1,0.22
ORD03003,PROD0106,3,0.04
ORD01992,PROD0124,2,0.08
ORD02704,PROD0165,1,0.14
ORD04027,PROD0193,2,0.23
ORD02806,PROD0076,4,0.1
ORD03690,PROD0180,3,0.17
ORD04870,PROD0010,2,0.04
ORD02363,PROD0007,2,0.26
ORD04617,PROD0093,3,0.09
ORD01297,PROD0146,3,0.14
ORD03604,PROD0173,3,0.05
ORD01054,PROD0038,5,0.09
ORD03148,PROD0066,2,0.01
ORD01734,PROD0150,3,0.04
ORD00099,PROD0067,3,0.22
ORD04234,PROD0104,4,0.19
ORD01396,PROD0089,2,0.18
ORD04105,PROD0081,5,0.11
ORD03976,PROD0166,2,0.26
ORD03949,PROD0045,4,0.27
ORD00117,PROD0172,1,0.1
ORD02534,PROD0053,2,0.05
ORD04986,PROD0200,1,0.19
ORD02921,PROD0128,4,0.17
ORD00100,PROD0192,5,0.27
ORD01660,PROD0094,1,0.12
ORD00810,PROD0085,5,0.02
ORD04533,PROD0137,5,0.26
ORD00459,PROD0115,5,0.16
ORD02005,PROD0066,2,0.21
ORD02008,PROD0059,4,0.05
ORD04991,PROD0069,5,0.08
ORD01557,PROD0188,1,0.27
ORD01086,PROD0134,3,0.02
ORD01865,PROD0063,5,0.23
ORD03910,PROD0119,1,0.16
ORD00419,PROD0082,1,0.06
ORD00954,PROD0114,1,0.14
ORD00819,PROD0139,5,0.06
ORD03992,PROD0077,5,0.0
ORD03521,PROD0029,4,0.23
ORD01596,PROD0151,5,0.23
ORD00005,PROD0065,4,0.18
ORD04036,PROD0162,2,0.1
ORD03960,PROD0132,3,0.29
ORD02455,PROD0068,5,0.07
ORD02256,PROD0174,5,0.15
ORD03605,PROD0029,2,0.15
ORD02615,PROD0131,4,0.15
ORD01465,PROD0017,4,0.2
ORD00775,PROD0114,3,0.19
ORD04413,PROD0047,2,0.23
ORD01899,PROD0055,3,0.15
ORD02622,PROD0197,5,0.14
ORD02459,PROD0157,2,0.17
ORD01267,PROD0083,2,0.06
ORD03246,PROD0044,2,0.18
ORD01288,PROD0084,5,0.29
ORD04877,PROD0107,3,0.07
ORD02154,PROD0121,3,0.11
ORD02509,PROD0086,3,0.25
ORD02584,PROD0116,3,0.13
ORD03224,PROD0196,4,0.0
ORD03311,PROD0015,4,0.11
ORD01147,PROD0117,3,0.01
ORD01657,PROD0054,3,0.09
ORD03060,PROD0007,3,0.13
ORD03133,PROD0084,5,0.17
ORD01634,PROD0056,5,0.15
ORD02245,PROD0028,1,0.07
ORD02667,PROD0186,4,0.28
ORD04858,PROD0121,1,0.23
ORD03196,PROD0177,4,0.07
ORD04971,PROD0151,4,0.02
ORD00460,PROD0164,3,0.08
ORD03027,PROD0113,3,0.03
ORD01101,PROD0192,1,0.1
ORD03390,PROD0039,2,0.18
ORD04703,PROD0052,5,0.03
ORD02009,PROD0084,5,0.16
ORD02136,PROD0143,5,0.25
ORD00180,PROD0036,1,0.26
ORD02572,PROD0093,4,0.22
ORD01760,PROD0048,3,0.14
ORD03775,PROD0093,3,0.06
ORD02122,PROD0066,5,0.22
ORD00190,PROD0036,1,0.19
ORD03501,PROD0102,4,0.24
ORD04329,PROD0016,5,0.11
ORD04635,PROD0112,1,0.29
ORD02680,PROD0138,4,0.08
ORD02735,PROD0163,1,0.22
ORD04631,PROD0024,5,0.23
ORD04357,PROD0041,5,0.25
ORD00719,PROD0147,4,0.18
ORD01564,PROD0193,1,0.23
ORD03531,PROD0071,4,0.14
ORD01247,PROD0167,3,0.02
ORD04713,PROD0087,4,0.16
ORD03543,PROD0006,4,0.17
ORD00053,PROD0160,4,0.01
ORD01846,PROD0083,4,0.05
ORD01826,PROD0150,3,0.16
ORD01642,PROD0198,5,0.28
ORD04726,PROD0040,2,0.23
ORD01689,PROD0079,2,0.03
ORD04370,PROD0155,1,0.23
ORD04425,PROD0090,1,0.1
ORD02584,PROD0059,2,0.06
ORD01338,PROD0109,3,0.07
ORD01780,PROD0198,3,0.01
ORD03602,PROD0032,4,0.01
ORD01709,PROD0098,1,0.13
ORD03271,PROD0051,2,0.23
ORD04836,PROD0032,1,0.29
ORD04151,PROD0149,5,0.04
ORD01718,PROD0031,4,0.22
ORD02936,PROD0192,3,0.12
ORD01724,PROD0024,5,0.11
ORD02092,PROD0131,1,0.28
ORD00133,PROD0002,4,0.24
ORD03280,PROD0026,3,0.11
ORD02540,PROD0017,4,0.28
ORD02464,PROD0059,1,0.2
ORD03193,PROD0121,1,0.29
ORD02251,PROD0187,3,0.01
ORD02040,PROD0046,5,0.0
ORD04249,PROD0040,2,0.21
ORD00320,PROD0016,5,0.24
ORD02401,PROD0096,5,0.12
ORD01291,PROD0108,2,0.05
ORD04249,PROD0039,2,0.11
ORD00897,PROD0042,1,0.15
ORD02508,PROD0104,3,0.27
ORD02173,PROD0160,3,0.01
ORD00212,PROD0085,1,0.27
ORD00281,PROD0189,2,0.27
ORD00381,PROD0139,4,0.23
ORD04303,PROD0044,2,0.03
ORD02857,PROD0058,1,0.13
ORD00544,PROD0029,4,0.14
ORD03401,PROD0138,4,0.04
ORD04942,PROD0164,1,0.09
ORD03847,PROD0066,2,0.1
ORD04424,PROD0094,5,0.2
ORD00790,PROD0123,4,0.22
ORD04680,PROD0051,2,0.07
ORD01064,PROD0037,2,0.2
ORD00777,PROD0184,4,0.08
ORD00863,PROD0064,2,0.08
ORD02467,PROD0085,4,0.2
ORD04260,PROD0133,5,0.3
ORD02186,PROD0195,2,0.1
ORD03071,PROD0170,2,0.17
ORD00281,PROD0192,4,0.19
ORD01622,PROD0047,1,0.04
ORD00280,PROD0061,2,0.12
ORD00096,PROD0147,4,0.15
ORD02818,PROD0049,5,0.12
ORD01760,PROD0117,5,0.08
ORD03604,PROD0031,3,0.2
ORD04215,PROD0087,3,0.3
ORD01527,PROD0066,3,0.24
ORD03993,PROD0198,5,0.14
ORD00791,PROD0172,3,0.23
ORD02154,PROD0017,3,0.13
ORD00209,PROD0140,2,0.03
ORD03748,PROD0029,1,0.17
ORD02423,PROD0033,3,0.09
ORD03574,PROD0142,1,0.29
ORD04135,PROD0047,4,0.25
ORD04186,PROD0050,2,0.25
ORD01818,PROD0199,1,0.06
ORD02900,PROD0135,5,0.23
ORD04612,PROD0136,5,0.01
ORD04368,PROD0093,5,0.07
ORD04349,PROD0043,3,0.05
ORD01357,PROD0163,5,0.07
ORD01246,PROD0139,5,0.13
ORD01657,PROD0072,1,0.29
ORD03284,PROD0076,4,0.27
ORD03451,PROD0122,4,0.1
ORD02458,PROD0001,1,0.08
ORD04553,PROD0172,3,0.06
ORD04866,PROD0018,1,0.23
ORD01150,PROD0037,4,0.25
ORD01987,PROD0101,2,0.19
ORD03204,PROD0152,2,0.07
ORD02871,PROD0019,2,0.29
ORD02263,PROD0036,4,0.04
ORD04800,PROD0173,2,0.06
ORD01167,PROD0173,3,0.23
ORD00089,PROD0164,1,0.16
ORD04295,PROD0027,5,0.14
ORD03591,PROD0077,1,0.16
ORD04998,PROD0117,2,0.02
ORD02797,PROD0070,1,0.11
ORD02093,PROD0029,4,0.13
ORD01380,PROD0182,4,0.23
ORD01841,PROD0134,1,0.03
ORD04943,PROD0154,3,0.07
ORD04052,PROD0180,4,0.13
ORD00862,PROD0198,3,0.25
ORD02260,PROD0065,5,0.1
ORD02059,PROD0092,1,0.0
ORD03978,PROD0063,5,0.15
ORD04843,PROD0112,3,0.03
ORD03997,PROD0144,5,0.25
ORD03079,PROD0156,5,0.26
ORD03135,PROD0011,5,0.03
ORD00808,PROD0148,1,0.04
ORD01955,PROD0093,5,0.2
ORD04947,PROD0108,4,0.22
ORD00327,PROD0089,4,0.26
ORD04697,PROD0134,1,0.28
ORD03538,PROD0172,1,0.06
ORD01481,PROD0007,3,0.03
ORD03377,PROD0008,4,0.25
ORD02077,PROD0092,3,0.11
ORD02038,PROD0071,4,0.24
ORD02659,PROD0118,3,0.23
ORD01316,PROD0054,5,0.23
ORD04484,PROD0166,3,0.22
ORD02856,PROD0200,2,0.25
ORD00729,PROD0086,3,0.18
ORD01865,PROD0082,3,0.03
ORD00741,PROD0164,4,0.09
ORD04074,PROD0164,2,0.23
ORD01657,PROD0068,4,0.11
ORD03587,PROD0093,2,0.29
ORD02645,PROD0005,1,0.06
ORD02544,PROD0130,5,0.09
ORD04587,PROD0138,2,0.12
ORD00623,PROD0051,1,0.03
ORD04899,PROD0170,4,0.26
ORD01195,PROD0184,3,0.16
ORD03251,PROD0035,4,0.03
ORD02408,PROD0158,5,0.29
ORD02653,PROD0058,4,0.25
