Order_ID,Delivery_Date,Delivery_Status,Shipping_Cost
ORD00095,2025-03-14,Delivered,196.9
ORD00096,2024-10-31,Delivered,67.87
ORD00097,,N/A,66.1
ORD00098,2024-12-06,Delivered,132.12
ORD00099,,N/A,195.45
ORD00100,2025-05-20,Delivered,67.02
ORD00101,2024-11-07,Delivered,96.56
ORD00102,,N/A,148.7
ORD00103,2024-09-02,Delivered,74.6
ORD00104,2025-05-28,Delivered,112.89
ORD00105,2024-09-03,Delivered,189.21
ORD00106,,N/A,40.67
ORD00107,,N/A,126.69
ORD00108,2024-08-19,Delivered,105.8
ORD00109,2025-04-21,Delivered,103.05
ORD00110,,N/A,64.56
ORD00111,,N/A,143.78
ORD00112,2024-12-08,Delivered,133.22
ORD00113,2025-01-02,Delivered,78.99
ORD00114,2024-12-27,Delivered,25.25
ORD00115,2025-05-04,Delivered,21.28
ORD00116,2025-05-26,Delivered,83.8
ORD00117,2024-08-26,Delivered,66.77
ORD00118,2024-07-31,Delivered,147.66
ORD00119,2025-06-02,Delivered,107.25
ORD00120,2024-08-13,Delivered,76.23
ORD00121,2024-12-29,Delivered,113.18
ORD00122,2024-11-18,Delivered,60.65
ORD00123,2025-02-23,Delivered,41.41
ORD00124,2025-03-05,Delivered,98.43
ORD00125,,N/A,109.17
ORD00126,2024-10-27,Delivered,55.37
ORD00127,,N/A,129.2
ORD00128,2024-09-28,Delivered,51.76
ORD00129,2025-01-20,Delivered,185.63
ORD00130,2024-09-03,Delivered,42.82
ORD00131,2025-03-10,Delivered,116.62
ORD00132,,N/A,89.64
ORD00133,2024-06-15,Delivered,139.4
ORD00134,2025-02-27,Delivered,165.25
ORD00135,2025-06-03,Delivered,39.42
ORD00136,2025-03-22,Delivered,146.03
ORD00137,2024-07-09,Delivered,76.05
ORD00138,2025-01-18,Delivered,165.33
ORD00139,2025-01-04,Delivered,38.58
ORD00140,2024-09-07,Delivered,25.87
ORD00141,2024-06-16,Delivered,72.72
ORD00142,,N/A,159.66
ORD00143,,N/A,175.59
ORD00144,2025-02-12,Delivered,133.28
ORD00145,2024-12-02,Delivered,167.48
ORD00146,2024-07-31,Delivered,189.32
ORD00147,2024-11-11,Delivered,113.56
ORD00148,2024-12-03,Delivered,120.81
ORD00149,2025-03-16,Delivered,141.36
ORD00150,2025-03-22,Delivered,102.56
ORD00151,2025-01-13,Delivered,44.38
ORD00152,2024-10-27,Delivered,196.34
ORD00153,2025-04-18,Delivered,184.62
ORD00154,2024-06-21,Delivered,136.49
ORD00155,2025-04-20,Delivered,55.03
ORD00156,,N/A,170.08
ORD00157,,N/A,20.81
ORD00158,,N/A,126.32
ORD00159,2025-01-10,Delivered,70.72
ORD00160,,N/A,107.74
ORD00161,2025-05-12,Delivered,22.52
ORD00162,2024-08-31,Delivered,20.36
ORD00163,2024-06-24,Delivered,25.18
ORD00164,2025-02-12,Delivered,127.12
ORD00165,2024-12-24,Delivered,49.98
ORD00166,,N/A,134.34
ORD00167,,N/A,175.2
ORD00168,2024-12-23,Delivered,169.06
ORD00169,,N/A,128.9
ORD00170,2025-06-11,Delivered,78.64
ORD00171,,N/A,154.79
ORD00172,2025-05-01,Delivered,47.82
ORD00173,2025-04-25,Delivered,103.63
ORD00174,2025-04-06,Delivered,77.95
ORD00175,2024-10-16,Delivered,135.19
ORD00176,,N/A,119.92
ORD00177,,N/A,193.91
ORD00178,,N/A,114.44
ORD00179,2024-07-29,Delivered,62.84
ORD00180,,N/A,178.14
ORD00181,2024-09-03,Delivered,95.56
ORD00182,2024-10-30,Delivered,27.87
ORD00183,2025-04-01,Delivered,119.8
ORD00184,2024-11-26,Delivered,124.33
ORD00185,,N/A,24.63
ORD00186,2025-04-13,Delivered,175.34
ORD00187,2024-12-23,Delivered,112.06
ORD00188,2025-03-14,Delivered,145.82
ORD00189,,N/A,20.01
ORD00190,2025-02-20,Delivered,186.99
ORD00191,,N/A,102.09
ORD00192,,N/A,47.68
ORD00193,2025-02-11,Delivered,175.75
ORD00194,,N/A,152.51
ORD00195,,N/A,133.33
ORD00196,2024-11-28,Delivered,29.2
ORD00197,2024-12-29,Delivered,21.81
ORD00198,2024-07-08,Delivered,31.05
ORD00199,2024-12-28,Delivered,31.25
ORD00200,,N/A,157.45
ORD00201,,N/A,122.8
ORD00202,2024-09-09,Delivered,189.12
ORD00203,2024-11-14,Delivered,177.16
ORD00204,,N/A,126.26
ORD00205,2025-01-06,Delivered,190.06
ORD00206,2025-02-20,Delivered,50.12
ORD00207,2025-03-04,Delivered,68.44
ORD00208,2024-07-12,Delivered,173.22
ORD00209,2024-07-11,Delivered,195.6
ORD00210,,N/A,198.58
ORD00211,2025-05-04,Delivered,100.16
ORD00212,,N/A,170.91
ORD00213,2025-05-04,Delivered,101.78
ORD00214,,N/A,44.14
ORD00215,2025-03-17,Delivered,169.73
ORD00216,,N/A,145.02
ORD00217,2025-02-02,Delivered,172.8
ORD00218,2025-06-13,Delivered,139.2
ORD00219,2024-07-29,Delivered,59.0
ORD00220,2025-01-30,Delivered,158.4
ORD00221,,N/A,62.79
ORD00222,2025-03-09,Delivered,146.63
ORD00223,2024-08-26,Delivered,56.04
ORD00224,,N/A,124.87
ORD00225,,N/A,181.22
ORD00226,2024-08-31,Delivered,107.72
ORD00227,2025-03-21,Delivered,130.84
ORD00228,2024-06-18,Delivered,129.62
ORD00229,2025-01-11,Delivered,129.69
ORD00230,2024-11-07,Delivered,189.23
ORD00231,2024-10-16,Delivered,85.38
ORD00232,2024-09-05,Delivered,110.75
ORD00233,2025-01-08,Delivered,172.14
ORD00234,2025-04-03,Delivered,180.6
ORD00235,2025-02-05,Delivered,67.26
ORD00236,2024-11-26,Delivered,136.58
ORD00237,,N/A,166.89
ORD00238,,N/A,37.54
ORD00239,2025-03-13,Delivered,34.7
ORD00240,2024-09-29,Delivered,83.03
ORD00241,2024-09-06,Delivered,107.88
ORD00242,2025-01-20,Delivered,23.34
ORD00243,,N/A,134.52
ORD00244,,N/A,125.66
ORD00245,2025-03-29,Delivered,68.94
ORD00246,2024-09-27,Delivered,196.53
ORD00247,2024-09-20,Delivered,31.61
ORD00248,2025-05-05,Delivered,121.93
ORD00249,,N/A,132.9
ORD00250,,N/A,48.23
ORD00251,2025-04-15,Delivered,53.68
ORD00252,2025-03-03,Delivered,130.72
ORD00253,2025-01-23,Delivered,69.47
ORD00254,2025-05-31,Delivered,185.98
ORD00255,2025-01-03,Delivered,165.73
ORD00256,2024-07-23,Delivered,191.43
ORD00257,2025-06-09,Delivered,105.18
ORD00258,2025-02-19,Delivered,112.4
ORD00259,2024-07-12,Delivered,160.98
ORD00260,,N/A,74.15
ORD00261,,N/A,152.96
ORD00262,2025-04-11,Delivered,125.64
ORD00263,2025-04-27,Delivered,171.5
ORD00264,,N/A,123.74
ORD00265,2024-11-02,Delivered,95.76
ORD00266,,N/A,119.47
ORD00267,2025-02-10,Delivered,194.63
ORD00268,2024-12-10,Delivered,152.3
ORD00269,2025-04-16,Delivered,196.41
ORD00270,2024-12-05,Delivered,138.22
ORD00271,2025-03-26,Delivered,169.08
ORD00272,2025-05-22,Delivered,134.79
ORD00273,2025-04-04,Delivered,83.99
ORD00274,,N/A,164.39
ORD00275,2024-07-20,Delivered,122.57
ORD00276,2025-02-06,Delivered,71.34
ORD00277,2025-05-30,Delivered,193.6
ORD00278,2024-10-16,Delivered,100.35
ORD00279,,N/A,143.41
ORD00280,2024-06-15,Delivered,79.43
ORD00281,2024-09-18,Delivered,177.18
ORD00282,2024-11-16,Delivered,110.04
ORD00283,2025-04-29,Delivered,68.34
ORD00284,2025-02-06,Delivered,20.26
ORD00285,2024-10-13,Delivered,145.02
ORD00286,,N/A,121.18
ORD00287,,N/A,42.99
ORD00288,,N/A,57.99
ORD00289,,N/A,174.29
ORD00290,2024-07-16,Delivered,146.67
ORD00291,,N/A,72.81
ORD00292,2024-10-09,Delivered,161.25
ORD00293,,N/A,142.11
ORD00294,2024-10-04,Delivered,44.38
ORD00295,2025-03-17,Delivered,40.9
ORD00296,,N/A,144.67
ORD00297,2024-08-27,Delivered,181.33
ORD00298,2024-07-05,Delivered,182.75
ORD00299,2024-11-16,Delivered,144.99
ORD00300,,N/A,160.6
ORD00301,2024-08-10,Delivered,131.87
ORD00302,2025-05-03,Delivered,165.59
ORD00303,2024-10-25,Delivered,144.04
ORD00304,2025-02-03,Delivered,170.77
ORD00305,2024-08-28,Delivered,106.26
ORD00306,2025-03-06,Delivered,102.45
ORD00307,2024-09-17,Delivered,191.48
ORD00308,2024-11-27,Delivered,189.91
ORD00309,,N/A,115.66
ORD00310,2025-05-26,Delivered,99.1
ORD00311,,N/A,140.49
ORD00312,,N/A,128.58
ORD00313,2024-08-17,Delivered,174.56
ORD00314,2024-12-17,Delivered,26.65
ORD00315,,N/A,144.34
ORD00316,2024-08-14,Delivered,64.97
ORD00317,2024-12-04,Delivered,75.33
ORD00318,2024-12-31,Delivered,110.88
ORD00319,2025-05-06,Delivered,180.09
ORD00320,,N/A,44.23
ORD00321,2025-06-11,Delivered,48.24
ORD00322,,N/A,22.77
ORD00323,,N/A,160.58
ORD00324,2025-06-16,Delivered,177.61
ORD00325,2024-11-21,Delivered,64.85
ORD00326,,N/A,197.14
ORD00327,,N/A,168.7
ORD00328,,N/A,198.68
ORD00329,2024-07-13,Delivered,187.54
ORD00330,,N/A,172.82
ORD00331,2024-07-08,Delivered,81.96
ORD00332,,N/A,100.88
ORD00333,2025-03-21,Delivered,82.47
ORD00334,2024-06-29,Delivered,111.61
ORD00335,2025-06-01,Delivered,78.28
ORD00336,2024-11-25,Delivered,177.82
ORD00337,2024-07-07,Delivered,24.4
ORD00338,,N/A,192.17
ORD00339,2025-04-24,Delivered,68.13
ORD00340,2025-02-07,Delivered,105.85
ORD00341,2025-03-16,Delivered,138.41
ORD00342,,N/A,75.78
ORD00343,2024-11-30,Delivered,105.14
ORD00344,,N/A,60.35
ORD00345,2025-04-04,Delivered,29.68
ORD00346,,N/A,81.81
ORD00347,2024-12-30,Delivered,92.94
ORD00348,,N/A,67.7
ORD00349,2025-03-06,Delivered,62.96
ORD00350,2024-08-25,Delivered,131.91
ORD00351,2024-07-11,Delivered,44.52
ORD00352,2024-12-29,Delivered,134.38
ORD00353,2024-09-27,Delivered,71.51
ORD00354,,N/A,101.92
ORD00355,2025-01-02,Delivered,167.29
ORD00356,2024-10-03,Delivered,86.94
ORD00357,2024-08-08,Delivered,139.94
ORD00358,2024-11-26,Delivered,58.16
ORD00359,2024-09-25,Delivered,106.83
ORD00360,2025-02-03,Delivered,128.6
ORD00361,2025-03-16,Delivered,136.78
ORD00362,2024-07-13,Delivered,114.06
ORD00363,2024-09-26,Delivered,136.7
ORD00364,2024-08-28,Delivered,116.27
ORD00365,2024-09-02,Delivered,173.99
ORD00366,,N/A,85.51
ORD00367,2025-02-06,Delivered,78.62
ORD00368,2025-05-20,Delivered,49.44
ORD00369,,N/A,123.48
ORD00370,,N/A,189.06
ORD00371,,N/A,139.73
ORD00372,2024-06-30,Delivered,179.21
ORD00373,2025-04-14,Delivered,71.99
ORD00374,2025-03-17,Delivered,172.49
ORD00375,,N/A,180.27
ORD00376,,N/A,149.38
ORD00377,2024-08-17,Delivered,113.56
ORD00378,2025-03-31,Delivered,148.49
ORD00379,2025-04-30,Delivered,99.47
ORD00380,2025-05-02,Delivered,73.01
ORD00381,2024-08-06,Delivered,88.22
ORD00382,2025-04-04,Delivered,118.19
ORD00383,2024-07-19,Delivered,175.89
ORD00384,2024-07-05,Delivered,79.73
ORD00385,2024-12-01,Delivered,98.93
ORD00386,2024-08-10,Delivered,60.2
ORD00387,2025-04-02,Delivered,123.22
ORD00388,,N/A,68.83
ORD00389,,N/A,65.52
ORD00390,,N/A,128.8
ORD00391,2024-12-10,Delivered,159.6
ORD00392,2025-05-08,Delivered,145.5
ORD00393,2024-11-08,Delivered,115.98
ORD00394,,N/A,58.2
ORD00395,,N/A,111.02
ORD00396,2024-09-03,Delivered,90.37
ORD00397,2025-04-18,Delivered,146.11
ORD00398,2024-10-21,Delivered,139.75
ORD00399,,N/A,164.93
ORD00400,,N/A,88.96
ORD00401,2024-06-22,Delivered,114.23
ORD00402,2024-08-15,Delivered,117.14
ORD00403,2025-01-22,Delivered,34.63
ORD00404,,N/A,131.3
ORD00405,,N/A,134.21
ORD00406,2024-12-13,Delivered,150.61
ORD00407,2024-07-18,Delivered,170.7
ORD00408,2025-06-02,Delivered,135.23
ORD00409,,N/A,24.99
ORD00410,2025-01-28,Delivered,54.87
ORD00411,,N/A,31.66
ORD00412,2025-03-15,Delivered,23.57
ORD00413,2024-07-02,Delivered,145.44
ORD00414,2025-06-12,Delivered,73.85
ORD00415,2024-07-01,Delivered,183.2
ORD00416,2024-08-18,Delivered,155.45
ORD00417,,N/A,74.36
ORD00418,,N/A,80.48
ORD00419,2025-03-24,Delivered,116.8
ORD00420,2024-07-17,Delivered,96.22
ORD00421,2024-09-28,Delivered,87.38
ORD00422,2025-03-18,Delivered,135.27
ORD00423,2025-02-04,Delivered,112.85
ORD00424,,N/A,60.89
ORD00425,2025-05-20,Delivered,113.32
ORD00426,2024-08-18,Delivered,176.03
ORD00427,2025-03-25,Delivered,160.63
ORD00428,2024-11-24,Delivered,82.74
ORD00429,2025-04-08,Delivered,39.64
ORD00430,2024-12-23,Delivered,157.69
ORD00431,2025-01-04,Delivered,79.0
ORD00432,2024-07-31,Delivered,56.33
ORD00433,2025-03-06,Delivered,144.75
ORD00434,,N/A,30.04
ORD00435,2025-01-24,Delivered,72.02
ORD00436,2025-03-26,Delivered,170.61
ORD00437,,N/A,33.96
ORD00438,,N/A,38.29
ORD00439,,N/A,88.98
ORD00440,,N/A,52.25
ORD00441,2024-11-23,Delivered,68.6
ORD00442,,N/A,57.38
ORD00443,2025-04-20,Delivered,183.87
ORD00444,2025-05-28,Delivered,127.45
ORD00445,2025-03-16,Delivered,167.89
ORD00446,2025-04-05,Delivered,44.08
ORD00447,2024-11-19,Delivered,47.69
ORD00448,2025-03-11,Delivered,103.64
ORD00449,2025-05-15,Delivered,43.35
ORD00450,2024-12-09,Delivered,28.0
ORD00451,2025-02-27,Delivered,20.52
ORD00452,,N/A,133.64
ORD00453,2025-03-12,Delivered,89.82
ORD00454,2025-02-03,Delivered,69.28
ORD00455,2025-03-03,Delivered,70.37
ORD00456,,N/A,94.72
ORD00457,,N/A,52.66
ORD00458,,N/A,199.96
ORD00459,2024-07-04,Delivered,194.69
ORD00460,2025-04-25,Delivered,64.21
ORD00461,2025-02-14,Delivered,91.65
ORD00462,2024-06-17,Delivered,147.86
ORD00463,2024-09-29,Delivered,126.64
ORD00464,,N/A,118.51
ORD00465,2025-04-18,Delivered,26.79
ORD00466,,N/A,50.79
ORD00467,2024-11-30,Delivered,37.03
ORD00468,2025-01-11,Delivered,68.42
ORD00469,,N/A,135.17
ORD00470,2024-11-29,Delivered,190.48
ORD00471,2024-09-02,Delivered,105.47
ORD00472,2024-11-21,Delivered,140.34
ORD00473,,N/A,186.14
ORD00474,2024-09-21,Delivered,27.84
ORD00475,2024-12-18,Delivered,116.48
ORD00476,2024-08-05,Delivered,89.92
ORD00477,,N/A,134.03
ORD00478,,N/A,155.21
ORD00479,,N/A,167.95
ORD00480,2025-03-19,Delivered,80.08
ORD00481,2025-01-15,Delivered,47.68
ORD00482,2024-08-13,Delivered,66.16
ORD00483,2025-02-13,Delivered,186.97
ORD00484,,N/A,187.9
ORD00485,,N/A,164.5
ORD00486,,N/A,181.39
ORD00487,2024-08-05,Delivered,157.49
ORD00488,2024-06-18,Delivered,193.02
ORD00489,2024-07-12,Delivered,130.31
ORD00490,2025-05-05,Delivered,67.94
ORD00491,,N/A,138.08
ORD00492,2024-07-24,Delivered,105.19
ORD00493,,N/A,172.22
ORD00494,2024-10-16,Delivered,55.34
ORD00495,2024-10-12,Delivered,111.18
ORD00496,,N/A,26.44
ORD00497,2024-10-26,Delivered,95.39
ORD00498,2024-06-26,Delivered,59.41
ORD00499,2025-04-28,Delivered,191.0
ORD00500,2025-02-24,Delivered,63.18
ORD00501,,N/A,86.71
ORD00502,2025-06-08,Delivered,31.4
ORD00503,2025-04-08,Delivered,120.18
ORD00504,2025-01-03,Delivered,130.25
ORD00505,,N/A,160.02
ORD00506,2024-09-02,Delivered,115.38
ORD00507,2024-07-16,Delivered,124.37
ORD00508,2025-01-11,Delivered,27.88
ORD00509,2025-01-21,Delivered,148.98
ORD00510,2024-10-13,Delivered,148.06
ORD00511,2024-07-03,Delivered,168.61
ORD00512,2025-05-03,Delivered,183.34
ORD00513,,N/A,20.59
ORD00514,2025-03-28,Delivered,93.09
ORD00515,2024-06-22,Delivered,20.17
ORD00516,2025-06-01,Delivered,21.81
ORD00517,2024-08-06,Delivered,102.07
ORD00518,,N/A,183.62
ORD00519,2024-10-21,Delivered,38.47
ORD00520,,N/A,165.31
ORD00521,2025-03-13,Delivered,79.97
ORD00522,,N/A,142.29
ORD00523,2025-04-23,Delivered,82.46
ORD00524,2025-03-10,Delivered,112.85
ORD00525,,N/A,157.76
ORD00526,,N/A,134.09
ORD00527,2025-04-17,Delivered,136.19
ORD00528,2025-02-09,Delivered,116.28
ORD00529,2025-02-10,Delivered,176.15
ORD00530,,N/A,109.43
ORD00531,2024-08-24,Delivered,49.48
ORD00532,,N/A,50.46
ORD00533,2025-06-09,Delivered,27.58
ORD00534,2024-07-02,Delivered,23.27
ORD00535,2024-06-25,Delivered,63.03
ORD00536,2024-11-26,Delivered,123.35
ORD00537,2024-08-19,Delivered,168.79
ORD00538,2024-12-09,Delivered,170.86
ORD00539,2025-02-16,Delivered,153.02
ORD00540,2024-09-30,Delivered,88.72
ORD00541,2025-05-27,Delivered,81.18
ORD00542,,N/A,34.14
ORD00543,2024-12-28,Delivered,172.12
ORD00544,2025-01-06,Delivered,170.0
ORD00545,,N/A,195.66
ORD00546,,N/A,47.72
ORD00547,2025-03-27,Delivered,39.59
ORD00548,2025-03-28,Delivered,58.93
ORD00549,2025-01-20,Delivered,94.01
ORD00550,2024-12-05,Delivered,68.52
ORD00551,2025-06-10,Delivered,134.48
ORD00552,2024-12-01,Delivered,73.63
ORD00553,2024-10-31,Delivered,67.02
ORD00554,2025-05-18,Delivered,50.75
ORD00555,,N/A,63.17
ORD00556,2024-09-18,Delivered,61.66
ORD00557,2024-09-01,Delivered,159.32
ORD00558,2025-05-29,Delivered,22.71
ORD00559,,N/A,37.37
ORD00560,2025-01-27,Delivered,100.57
ORD00561,2024-07-12,Delivered,118.02
ORD00562,,N/A,140.97
ORD00563,,N/A,67.66
ORD00564,2024-09-22,Delivered,79.92
ORD00565,2024-06-27,Delivered,122.09
ORD00566,2024-09-30,Delivered,80.42
ORD00567,2024-11-29,Delivered,128.75
ORD00568,2024-12-23,Delivered,40.98
ORD00569,2024-11-22,Delivered,199.54
ORD00570,,N/A,53.08
ORD00571,,N/A,70.52
ORD00572,2024-11-24,Delivered,69.46
ORD00573,2025-02-01,Delivered,163.97
ORD00574,,N/A,71.46
ORD00575,2025-02-18,Delivered,155.65
ORD00576,2025-06-07,Delivered,102.51
ORD00577,,N/A,188.11
ORD00578,2024-12-18,Delivered,87.67
ORD00579,2025-05-07,Delivered,20.63
ORD00580,,N/A,54.06
ORD00581,2025-01-22,Delivered,27.15
ORD00582,,N/A,29.68
ORD00583,2025-06-04,Delivered,181.3
ORD00584,2024-12-25,Delivered,87.81
ORD00585,2024-11-03,Delivered,107.33
ORD00586,2025-01-06,Delivered,183.78
ORD00587,,N/A,149.84
ORD00588,2024-10-23,Delivered,96.15
ORD00589,2024-07-06,Delivered,95.85
ORD00590,,N/A,108.18
ORD00591,,N/A,187.85
ORD00592,2024-09-08,Delivered,97.28
ORD00593,2024-11-19,Delivered,72.47
ORD00594,2025-05-20,Delivered,122.99
ORD00595,2025-01-17,Delivered,175.69
ORD00596,2024-11-30,Delivered,117.9
ORD00597,,N/A,153.42
ORD00598,,N/A,144.42
ORD00599,,N/A,54.96
ORD00600,,N/A,110.44
ORD00601,2025-03-09,Delivered,70.29
ORD00602,2025-05-14,Delivered,126.92
ORD00603,,N/A,49.84
ORD00604,2024-10-03,Delivered,190.31
ORD00605,,N/A,173.75
ORD00606,2025-02-02,Delivered,113.97
ORD00607,,N/A,161.55
ORD00608,2024-08-10,Delivered,110.02
ORD00609,2025-04-09,Delivered,51.79
ORD00610,,N/A,49.4
ORD00611,,N/A,80.81
ORD00612,2024-09-28,Delivered,89.26
ORD00613,2024-08-25,Delivered,142.69
ORD00614,,N/A,158.85
ORD00615,2025-05-08,Delivered,185.49
ORD00616,2025-04-17,Delivered,177.94
ORD00617,2025-03-17,Delivered,199.76
ORD00618,,N/A,73.87
ORD00619,2025-04-03,Delivered,76.07
ORD00620,2024-09-25,Delivered,53.39
ORD00621,,N/A,197.72
ORD00622,,N/A,65.3
ORD00623,2025-05-26,Delivered,89.82
ORD00624,,N/A,141.56
ORD00625,2024-07-14,Delivered,139.76
ORD00626,,N/A,136.1
ORD00627,2025-02-05,Delivered,123.55
ORD00628,2025-04-08,Delivered,182.91
ORD00629,2025-05-21,Delivered,26.23
ORD00630,,N/A,94.7
ORD00631,2024-06-27,Delivered,144.94
ORD00632,2025-01-17,Delivered,55.39
ORD00633,,N/A,191.8
ORD00634,,N/A,70.1
ORD00635,,N/A,83.43
ORD00636,2025-03-09,Delivered,174.63
ORD00637,2024-10-06,Delivered,167.42
ORD00638,2024-07-09,Delivered,57.3
ORD00639,,N/A,114.01
ORD00640,2025-01-20,Delivered,135.91
ORD00641,2024-11-06,Delivered,161.8
ORD00642,,N/A,34.34
ORD00643,2025-01-19,Delivered,81.26
ORD00644,2025-02-21,Delivered,124.28
ORD00645,2025-05-02,Delivered,81.25
ORD00646,2025-03-04,Delivered,85.05
ORD00647,2024-12-19,Delivered,30.66
ORD00648,2025-03-26,Delivered,82.17
ORD00649,2024-06-25,Delivered,43.24
ORD00650,,N/A,52.74
ORD00651,2025-02-11,Delivered,22.52
ORD00652,,N/A,106.77
ORD00653,2025-02-05,Delivered,95.85
ORD00654,2024-10-13,Delivered,120.36
ORD00655,2024-09-13,Delivered,110.53
ORD00656,,N/A,73.64
ORD00657,2024-10-10,Delivered,71.32
ORD00658,,N/A,149.44
ORD00659,2024-06-19,Delivered,50.27
ORD00660,2025-03-30,Delivered,68.4
ORD00661,,N/A,64.93
ORD00662,2024-12-04,Delivered,191.75
ORD00663,2025-04-11,Delivered,176.5
ORD00664,2025-04-21,Delivered,120.08
ORD00665,,N/A,158.8
ORD00666,2025-06-10,Delivered,139.62
ORD00667,2025-06-04,Delivered,102.45
ORD00668,2024-08-12,Delivered,154.33
ORD00669,2024-12-26,Delivered,167.38
ORD00670,2025-03-02,Delivered,164.51
ORD00671,2024-09-07,Delivered,180.62
ORD00672,2024-11-13,Delivered,163.28
ORD00673,2024-12-12,Delivered,180.59
ORD00674,2025-03-28,Delivered,83.92
ORD00675,2025-06-17,Delivered,52.03
ORD00676,2024-09-29,Delivered,196.12
ORD00677,2024-12-25,Delivered,96.11
ORD00678,2024-08-29,Delivered,100.23
ORD00679,2025-02-14,Delivered,24.71
ORD00680,2024-12-16,Delivered,190.94
ORD00681,2024-12-21,Delivered,122.32
ORD00682,2024-08-14,Delivered,107.1
ORD00683,2024-07-06,Delivered,56.07
ORD00684,2025-03-14,Delivered,50.69
ORD00685,2025-02-08,Delivered,171.63
ORD00686,2025-01-18,Delivered,156.75
ORD00687,2024-08-18,Delivered,24.22
ORD00688,,N/A,77.63
ORD00689,2024-07-26,Delivered,45.24
ORD00690,2024-10-15,Delivered,134.11
ORD00691,2025-05-29,Delivered,197.94
ORD00692,2024-06-19,Delivered,176.33
ORD00693,2025-01-08,Delivered,106.12
ORD00694,,N/A,82.14
ORD00695,,N/A,180.13
ORD00696,,N/A,148.03
ORD00697,2025-06-05,Delivered,163.08
ORD00698,2024-07-18,Delivered,129.57
